r,X_r,Conn_r,euler_rips_r
3.0,1.0,10,10
3.17,0.1,9,9
4.28,0.2,8,8
5.71,0.3,7,7
7.16,0.4,6,6
9.02,0.5,5,5
9.06,0.6,4,4
9.61,0.1,4,4
10.01,0.1,3,3
10.41,0.1,2,2
10.61,0.2,2,2
10.97,0.3,2,2
11.52,0.4,2,2
13.04,0.5,2,2
14.09,0.6,2,2
14.15,0.8,2,3
14.61,0.9,2,3
14.72,1.1,2,4
14.92,1.3,2,5
15.3,1.5,2,6
17.19,1.7,2,7
17.56,1.9,2,8
17.68,2.2,2,10
17.93,2.5,2,12
18.45,2.5,1,11
20.01,2.8,1,13
21.01,2.9,1,13
22.37,3.2,1,15
23.25,3.5,1,17
23.7,3.9,1,20
23.72,4.3,1,23
24.75,4.7,1,26
25.5,5.1,1,29
26.58,5.6,1,33
28.31,5.8,1,34
28.7,6.3,1,38
31.35,6.8,1,42
32.45,7.1,1,44
34.4,7.7,1,49
35.93,8.1,1,52
36.79,8.7,1,57
39.88,9.4,1,63
42.33,9.9,1,67
44.6,10.5,1,72
51.74,11.2,1,78
56.93,12.0,1,85
