r,X_r,Conn_r,euler_rips_r
0.0,0.109375,57,57
0.5,0.140625,55,55
1.12,0.15625,54,54
1.42,0.171875,53,53
1.59,0.1875,52,52
2.0,0.203125,51,51
2.07,0.015625,50,50
2.24,0.03125,49,49
2.5,0.109375,45,45
2.55,0.125,43,43
2.92,0.21875,40,42
3.05,0.234375,39,41
3.17,0.234375,38,40
3.21,0.265625,37,40
3.36,0.265625,36,39
3.5,0.265625,34,37
3.54,0.28125,31,34
3.65,0.359375,31,37
3.81,0.40625,27,33
4.0,0.453125,27,34
4.04,0.5,27,35
4.28,0.6875,27,40
4.31,0.734375,26,40
4.48,0.78125,26,41
4.5,0.78125,25,40
4.61,0.796875,25,40
4.72,0.84375,24,40
4.75,0.859375,23,39
4.93,0.90625,23,41
5.0,1.015625,20,42
5.1,1.09375,19,44
5.23,1.171875,18,44
5.32,1.359375,17,51
5.41,1.375,17,51
5.6,1.703125,15,63
5.66,1.734375,15,64
5.71,1.796875,15,65
5.84,1.8125,14,64
5.86,1.84375,14,64
6.0,1.890625,14,65
6.03,1.953125,14,67
6.09,2.046875,14,71
6.11,2.09375,14,72
6.19,2.171875,14,75
6.33,2.171875,13,74
6.5,2.28125,13,79
6.52,2.34375,13,79
6.68,2.390625,13,81
6.71,2.46875,13,83
6.81,2.5625,13,87
6.95,2.65625,13,91
6.97,2.765625,13,96
7.0,2.84375,13,99
7.02,2.875,13,100
7.08,3.09375,11,104
7.11,3.15625,11,107
7.16,3.28125,11,112
7.22,3.34375,11,114
7.29,3.40625,11,115
7.44,3.609375,10,122
7.5,3.75,10,129
7.57,3.796875,10,130
7.62,4.015625,10,140
7.64,4.375,10,157
7.65,4.625,10,168
7.78,4.671875,10,169
7.82,4.8125,10,176
7.91,5.0,9,182
8.0,5.015625,9,182
8.02,5.03125,9,182
8.07,5.125,9,187
8.08,5.28125,9,194
8.14,5.453125,9,203
8.21,5.5,9,205
8.25,5.578125,9,208
8.28,5.984375,9,228
8.33,6.109375,9,234
8.39,6.171875,9,237
8.5,6.1875,9,237
8.52,6.265625,9,241
8.55,6.375,9,246
8.61,6.4375,9,249
8.64,6.546875,9,255
8.74,6.765625,9,266
8.75,6.78125,9,266
8.85,6.875,9,269
8.87,7.21875,9,287
8.91,7.265625,9,289
8.95,7.578125,9,303
9.02,8.390625,9,344
9.06,8.671875,9,359
9.2,8.921875,9,372
9.22,9.390625,9,396
9.31,9.5,9,401
9.35,9.6875,9,411
9.4,9.765625,9,415
9.44,9.828125,9,417
9.5,10.0,9,426
9.52,10.203125,9,437
9.56,10.296875,9,441
9.61,10.859375,9,473
9.62,10.921875,9,476
9.66,11.046875,9,483
9.71,11.1875,9,490
9.85,11.28125,9,495
9.87,11.390625,8,499
9.9,11.53125,8,507
9.93,11.90625,7,525
9.97,12.015625,7,530
10.0,13.21875,7,590
10.02,13.265625,7,592
10.07,13.359375,7,597
10.12,13.5625,7,607
10.26,13.828125,7,621
10.3,14.484375,7,658
10.31,14.75,7,671
10.41,15.28125,7,699
10.5,15.3125,7,700
10.52,15.359375,7,702
10.55,15.640625,7,717
10.6,16.015625,7,738
10.61,17.234375,7,803
10.71,17.5,7,818
10.74,17.609375,7,824
10.78,17.765625,7,832
10.82,18.03125,7,847
10.93,18.125,7,852
10.97,18.421875,6,867
10.98,18.5625,6,875
11.05,18.6875,6,882
11.07,18.796875,6,888
11.11,18.921875,5,894
11.19,20.25,5,960
11.29,20.515625,5,975
11.34,20.640625,5,982
11.41,20.859375,5,993
11.42,21.0,5,1001
11.43,21.390625,5,1023
11.5,21.546875,5,1032
11.52,22.171875,5,1067
11.55,22.421875,5,1081
11.6,22.578125,5,1090
11.68,22.96875,5,1112
11.71,23.265625,5,1129
11.77,23.84375,5,1161
11.81,24.25,5,1184
11.86,24.90625,5,1222
11.89,25.171875,5,1237
11.93,25.359375,5,1248
12.03,26.03125,5,1286
12.05,26.40625,5,1307
12.09,26.609375,5,1318
12.1,27.125,5,1348
12.21,27.140625,5,1348
12.26,27.4375,5,1365
12.3,27.609375,5,1375
12.35,27.96875,5,1396
12.42,28.328125,5,1417
12.5,28.921875,4,1450
12.51,28.921875,4,1449
12.53,29.453125,4,1479
12.54,29.796875,4,1498
12.59,29.90625,4,1504
12.62,30.078125,4,1514
12.66,30.25,4,1524
12.73,30.53125,4,1540
12.75,31.453125,4,1592
12.78,31.578125,4,1599
12.91,31.625,4,1601
12.99,31.671875,4,1603
13.01,31.78125,4,1609
13.04,32.234375,4,1635
13.09,33.640625,4,1717
13.13,34.0625,4,1742
13.21,34.515625,4,1769
13.24,34.65625,4,1777
13.32,34.8125,4,1786
13.35,35.234375,4,1811
13.44,35.375,4,1819
13.46,35.515625,4,1827
13.47,36.203125,4,1867
13.5,36.3125,4,1873
13.51,36.46875,4,1882
13.54,36.796875,4,1901
13.61,37.34375,4,1930
13.65,37.640625,4,1947
13.73,38.453125,4,1994
13.76,39.046875,4,2029
13.83,39.3125,4,2044
13.87,39.4375,4,2051
13.91,39.59375,4,2060
14.01,39.78125,4,2071
14.04,39.921875,4,2079
14.09,40.59375,4,2118
14.12,40.859375,4,2133
14.15,42.921875,4,2253
14.16,43.234375,4,2271
14.22,43.984375,4,2315
14.32,45.109375,4,2380
14.33,45.390625,4,2397
14.43,45.546875,4,2406
14.54,45.875,4,2425
14.57,46.015625,4,2433
14.58,47.8125,4,2536
14.61,48.203125,4,2559
14.64,48.3125,4,2565
14.71,48.53125,4,2578
14.72,48.734375,4,2590
14.77,48.921875,4,2601
14.81,49.109375,4,2612
14.87,49.546875,4,2638
14.92,49.96875,4,2663
15.0,50.984375,4,2720
15.01,51.234375,4,2734
15.05,51.578125,4,2754
15.08,51.765625,4,2765
15.12,52.171875,4,2788
15.19,52.59375,4,2813
15.21,53.625,4,2873
15.24,53.75,4,2880
15.3,54.09375,4,2899
15.45,54.9375,4,2949
