r,X_r,Conn_r,euler_rips_r
4.0,1.0,10,10
4.13,0.1,9,9
5.6,0.2,8,8
6.51,0.3,7,7
7.57,0.4,6,6
8.51,0.5,5,5
8.74,0.6,4,4
8.85,0.1,4,4
9.56,0.1,3,3
10.61,0.2,3,3
10.71,0.4,2,2
11.02,0.5,2,2
12.54,0.6,2,2
13.13,0.6,1,1
14.15,0.8,1,1
14.58,1.0,1,2
15.53,1.2,1,3
16.92,1.4,1,4
17.68,1.6,1,5
18.21,1.8,1,6
19.53,2.1,1,8
19.68,2.3,1,9
21.03,2.6,1,11
21.22,3.2,1,15
23.48,3.4,1,16
24.75,3.7,1,18
24.84,4.1,1,21
25.27,4.5,1,24
27.88,4.9,1,27
28.29,5.2,1,29
30.06,5.7,1,33
30.27,6.1,1,36
31.86,6.6,1,40
33.43,7.0,1,43
34.24,7.5,1,47
35.54,8.1,1,52
38.9,8.6,1,56
38.97,9.2,1,61
40.7,9.9,1,67
44.12,10.5,1,72
47.99,11.2,1,78
52.91,12.0,1,85
