r,X_r,Conn_r,euler_rips_r
0.0,0.12698412698412698,110,110
0.5,0.007936507936507936,108,108
1.0,0.015873015873015872,106,106
1.12,0.023809523809523808,105,105
1.42,0.031746031746031744,100,100
1.59,0.03968253968253968,96,96
1.81,0.06349206349206349,85,85
2.0,0.07936507936507936,83,83
2.07,0.10317460317460317,81,82
2.13,0.1111111111111111,79,80
2.24,0.11904761904761904,76,77
2.5,0.2857142857142857,60,66
2.55,0.3333333333333333,54,61
2.7,0.40476190476190477,52,63
2.92,0.48412698412698413,51,67
3.0,0.5,51,66
3.05,0.5079365079365079,50,64
3.17,0.5793650793650794,48,64
3.21,0.6031746031746031,46,61
3.5,0.6190476190476191,43,59
3.54,1.2857142857142858,36,91
3.61,1.3412698412698412,35,93
3.65,1.5714285714285714,35,109
3.81,1.873015873015873,34,135
3.91,2.007936507936508,32,144
4.0,2.119047619047619,31,151
4.04,2.261904761904762,31,164
4.13,2.5714285714285716,31,191
4.28,2.857142857142857,31,214
4.31,2.9126984126984126,30,214
4.48,3.0555555555555554,30,227
4.5,3.0952380952380953,30,228
4.53,3.1031746031746033,30,228
4.61,3.253968253968254,30,242
4.72,3.2857142857142856,29,241
4.75,3.4047619047619047,29,251
4.95,3.619047619047619,28,271
5.0,4.833333333333333,25,384
5.03,4.896825396825397,24,387
5.1,4.9523809523809526,24,392
5.15,4.992063492063492,23,393
5.23,5.380952380952381,22,422
5.32,5.888888888888889,21,470
5.39,5.9523809523809526,21,475
5.41,6.158730158730159,21,495
5.5,6.222222222222222,20,500
5.53,6.238095238095238,20,501
5.6,8.071428571428571,15,669
5.66,8.261904761904763,15,686
5.71,8.523809523809524,15,711
5.84,8.714285714285714,15,731
5.86,9.03968253968254,15,765
6.0,9.158730158730158,15,775
6.03,9.285714285714286,15,788
6.05,9.53968253968254,15,816
6.09,10.238095238095237,15,889
6.11,10.523809523809524,15,918
6.19,11.23015873015873,15,989
6.27,11.317460317460318,15,998
6.33,11.468253968253968,15,1014
6.41,11.865079365079366,15,1055
6.5,12.206349206349206,15,1088
6.52,12.507936507936508,15,1122
6.58,13.119047619047619,14,1184
6.68,13.492063492063492,14,1221
